users_cnt,num_requests,response_time,min_cpu_percent,med_cpu_percent,max_cpu_percent,min_ram_percent,med_ram_percent,max_ram_percent
1000.0,13692.0,479.8255407057505,7.216530612244898,11.195342994794691,15.047589743589745,1.2836456298828125,2.25982666015625,2.8118133544921875
2000.0,17228.0,571.319430823196,3.7059183673469382,13.038477157360406,16.31497435897436,2.6153564453125,3.3306121826171875,3.5919189453125
3000.0,18787.0,580.3934512953708,7.139647355163728,13.277964376590331,15.657506361323156,2.8263092041015625,3.499603271484375,3.762054443359375
4000.0,22026.0,599.1922205313293,6.153012658227848,13.941068702290076,16.46071794871795,3.615188598632813,3.989791870117188,4.050064086914063
5000.0,24207.0,629.9152790901876,7.648121827411168,13.945303244374673,15.071797468354433,3.922271728515625,4.230499267578125,4.312515258789063
6000.0,28162.0,664.9546763062618,10.241421319796954,13.948030690537085,15.306564102564105,4.229736328125,4.583549499511719,4.63104248046875
7000.0,33961.0,720.7033273899932,12.323061224489797,14.357442455242966,15.794489795918368,3.96728515625,4.9808502197265625,5.0342559814453125
8000.0,40750.0,948.0684846886874,7.970579345088161,14.584591836734695,22.11556701030928,4.316329956054688,5.50384521484375,5.569839477539063
9000.0,52464.0,1006.5531657251732,0.2440201005025125,15.052886597938144,20.53984732824428,4.5467376708984375,6.177902221679688,6.25152587890625
10000.0,64994.0,1116.689122925958,8.938883248730964,15.239353374780306,15.517025641025642,5.44586181640625,6.83746337890625,6.9393157958984375
20000.0,240045.0,1677.06738623759,5.905692695214106,15.255540293040294,20.68020618556701,5.313873291015625,9.05609130859375,9.22698974609375
30000.0,327055.0,1088.0373356384027,13.87918367346939,15.55431144039866,16.788923076923076,6.935882568359375,7.8716278076171875,8.010101318359375
40000.0,345920.0,830.9088323682191,11.506632911392405,15.651923538329708,16.51611253196931,6.8744659423828125,7.068061828613281,7.186126708984375
50000.0,286324.0,613.5682721132408,6.804060913705584,16.208346055979643,19.28430769230769,6.333541870117188,6.4571380615234375,6.54144287109375
