users_cnt,num_requests,response_time,min_cpu_percent,med_cpu_percent,max_cpu_percent,min_ram_percent,med_ram_percent,max_ram_percent
1000.0,14008.0,514.3274458879936,1.2115288220551377,14.019542757754373,20.001933842239183,1.5186309814453125,2.765655517578125,3.061676025390625
2000.0,15448.0,605.8045328111119,9.579745547073792,14.09957128537281,17.04,2.0999908447265625,3.0033111572265625,3.369903564453125
3000.0,17373.0,609.2563753506588,9.244162436548224,14.442329113924051,19.015487179487177,2.631378173828125,3.264999389648437,3.55682373046875
4000.0,20766.0,635.5850058657913,5.876767676767677,14.564424740653749,17.43248730964467,3.3977508544921875,3.816986083984375,3.861618041992188
5000.0,22482.0,678.6745133837676,8.803358778625954,14.718469387755103,17.39234693877551,3.746795654296875,4.1004180908203125,4.1469573974609375
6000.0,27209.0,699.3498949468924,3.5816161616161613,14.76705882352941,17.740458015267173,3.9402008056640634,4.443359375,4.494476318359375
7000.0,32128.0,760.1932451238795,12.65648854961832,14.84943550101459,16.974249363867685,3.6808013916015625,4.822540283203125,4.878997802734375
8000.0,37194.0,837.8129970399517,2.0591919191919192,15.32020304568528,22.719067357512955,3.7387847900390634,5.110740661621094,5.193328857421875
9000.0,52546.0,1002.9941154535666,11.614111675126903,15.35522237523772,19.495025380710658,3.55682373046875,5.6732177734375,5.780792236328125
10000.0,68037.0,1115.1797875362586,5.822987341772152,15.718863011044371,16.543384615384614,4.5131683349609375,6.2953948974609375,6.412506103515625
20000.0,224148.0,1369.918557959205,7.368866498740554,15.7423677581864,16.57135549872123,4.022979736328125,8.154487609863281,8.33587646484375
30000.0,321942.0,1045.225035459334,9.846106870229008,15.878172588832488,17.360204603580563,4.2449951171875,6.336021423339844,6.439208984375
40000.0,268912.0,773.05271979885,14.424529262086514,16.07041744418201,17.0880412371134,5.14373779296875,5.2753448486328125,5.3554534912109375
50000.0,393494.0,769.2895065217978,4.463613231552163,16.216036197087533,22.6728125,4.828097534179688,5.0324554443359375,5.439893798828125
