users_cnt,num_requests,response_time,min_cpu_percent,med_cpu_percent,max_cpu_percent,min_ram_percent,med_ram_percent,max_ram_percent
10000.0,62890.0,941.5074965951572,5.056386768447837,11.471304426447606,13.980816326530613,2.29644775390625,3.7939071655273438,3.9417266845703125
10000.0,64227.0,941.1363293750392,4.611083123425693,10.757201017811704,12.990816326530613,4.143524169921875,4.432106018066406,4.6054840087890625
10000.0,61954.0,929.3398052667529,4.45060606060606,11.080768154977727,12.85058524173028,4.264068603515625,4.559135437011719,4.74395751953125
10000.0,65097.0,953.417470244353,6.571586901763224,11.519592875318066,14.103673469387756,4.3178558349609375,4.6108245849609375,4.7725677490234375
10000.0,62004.0,932.4867115172963,3.773030303030303,8.831154725462083,12.566445012787725,4.2476654052734375,4.5745849609375,4.77142333984375
10000.0,62550.0,945.7226259385708,4.994910941475827,11.60639194139194,12.965728900255755,4.3331146240234375,4.602622985839844,4.7901153564453125
10000.0,61523.0,933.3366806034862,5.528527918781726,11.244387755102041,11.930483460559795,4.315185546875,4.5757293701171875,4.7733306884765625
10000.0,63366.0,959.0360245257742,3.5188888888888887,10.573920983778127,13.345241730279897,4.3125152587890625,4.585075378417969,4.79583740234375
10000.0,63849.0,959.6142067661394,5.161712846347607,9.812244897959184,13.978274111675127,4.31671142578125,4.6077728271484375,4.787445068359375
10000.0,63064.0,933.9247555659006,6.818422391857506,11.568646702709703,12.852816537467701,4.3060302734375,4.585075378417969,4.7821044921875
10000.0,61860.0,912.0978489994653,5.601616161616161,10.90185716856012,14.516224489795917,4.285430908203125,4.5917510986328125,4.784393310546875
10000.0,64581.0,975.1791587043324,2.8960401002506266,11.280271230900386,13.598871794871794,4.1172027587890625,4.5581817626953125,4.7885894775390625
10000.0,62268.0,941.0942305485241,5.784771573604061,9.227261220091656,12.650227848101267,4.290008544921875,4.582405090332031,4.7702789306640625
10000.0,69794.0,952.9162881251004,4.984607594936709,9.70713924050633,12.943392405063292,4.40216064453125,4.6634674072265625,4.8366546630859375
10000.0,65324.0,985.858849560375,4.441730279898219,11.189292174234035,12.134416243654822,4.3125152587890625,4.6077728271484375,4.808807373046875
