,users_cnt,num_requests,response_time,min_cpu_percent,med_cpu_percent,max_cpu_percent,min_ram_percent,med_ram_percent,max_ram_percent
0,10000.0,63290.0,969.3091398467164,8.07774936061381,13.592755102040815,16.033861892583122,2.6035308837890625,5.2577972412109375,5.431365966796875
1,10000.0,65078.0,940.3200767874278,4.819443037974684,14.432448223584467,20.014526854219948,5.2478790283203125,5.6156158447265625,5.78765869140625
2,10000.0,64172.0,962.935914507174,2.7948354430379747,11.442525252525252,17.495345268542202,4.9709320068359375,5.683517456054688,5.889892578125
3,10000.0,63641.0,969.8260575038188,4.371818181818181,15.48762886597938,16.69948717948718,5.04150390625,5.7010650634765625,5.918502807617188
4,10000.0,61338.0,959.7790603538084,6.272101265822785,15.034162436548222,18.40347826086957,5.292892456054688,5.679702758789063,5.836105346679688
5,10000.0,63508.0,970.4979926520184,5.816666666666666,13.973206494361994,17.688081841432222,5.088043212890625,5.719757080078125,5.949020385742188
6,10000.0,64079.0,987.687985763098,4.213030303030303,13.162487309644671,18.691928020565552,5.0495147705078125,5.671119689941406,5.840301513671875
7,10000.0,62548.0,956.6682956653706,1.8687153652392947,14.935493124564792,18.813711340206183,4.981231689453125,5.714035034179688,5.950927734375
8,10000.0,63451.0,980.641584403887,9.437251908396949,15.041094891468294,18.66830769230769,5.2455902099609375,5.697822570800781,5.908203125
9,10000.0,65586.0,974.012151486187,8.40173469387755,14.697902813299232,17.272493573264782,5.2333831787109375,5.69000244140625,5.9253692626953125
10,10000.0,61906.0,968.30970803202,7.010862944162437,12.912201114439398,16.47012853470437,5.1235198974609375,5.670738220214844,5.887985229492188
11,10000.0,62739.0,985.8027223990794,2.9052525252525254,10.93648854961832,18.08830769230769,5.4630279541015625,5.73577880859375,5.923843383789063
12,10000.0,64508.0,963.4259978323038,6.318274111675128,14.991555521111843,17.737538461538463,5.386734008789063,5.725860595703125,5.9345245361328125
13,10000.0,64196.0,966.455169191558,4.7419647355163725,13.638962455211091,17.082929292929293,5.10101318359375,5.679512023925781,5.9078216552734375
14,10000.0,63783.0,953.7253089818252,7.790127226463104,13.88141565321781,19.55474226804124,5.241012573242188,5.695152282714844,5.887222290039063
